name,Mvir,Menv,Rvir,Xc,Yc,Zc
h00,797913235294.1176,28193140367443.164,201.47,49170.08933714,33786.4766685,52855.80877992
h01,699388235294.1176,34739141733070.594,192.81,13666.76804807,28546.05669902,17039.16788301
h02,736338235294.1176,54334469475400.11,196.17,50807.03826002,26875.98777165,411.45273071
h03,788864705882.3529,71436399979243.58,200.79,20526.44538996,53408.01677632,34614.40045924
h10,1360907352941.1765,24506384061635.73,240.72,39945.98356215,38147.40252641,24420.49803883
h11,1548411764705.8823,38846534664372.83,251.31,27793.78346748,56125.78290769,29987.37164332
h12,1381148529411.7646,48815929034601.61,241.91,1210.6781259000002,27780.76331054,49140.70063109
h13,1328386764705.8823,68887153508128.49,238.78,55343.69827493,18788.28586218,19019.66058993
