Mvir,Rvir,Xc,Yc,Zc,isolated
1464451470588.235,246.68,8925.19442677,10069.10362762,48935.26437616,True
1463555882352.9412,246.62,9439.82460887,28360.55315821,22679.95260052,False
1462048529411.7646,246.54,1994.65723349,29781.93380515,1018.66858957,True
1453870588235.294,246.08,50680.23900034,24371.49549484,1231.07177092,True
1448686764705.8823,245.81,18027.67565432,39703.67584028,139.60735161,True
1448663235294.1174,245.78,6449.86673201,40059.14295122,44342.98008617,False
1443195588235.294,245.47,39772.16505461,8986.28423434,35969.34909741,True
1442536764705.8823,245.44,35098.05520183,20410.43451524,34439.15658106,True
1442513235294.1174,245.43,49796.20009512,18045.17111968,55416.65693601,True
1434854411764.7058,245.0,6025.99034612,27725.5135942,6560.08655821,True
1431767647058.8235,244.87,10560.88829466,26306.63089134,6585.76037665,True
1430282352941.1763,244.74,32431.3532002,4300.41972088,6040.83974913,True
1429316176470.5881,244.69,3857.65032884,14145.1446445,8610.12643242,True
1424673529411.7646,244.42,30900.44285501,19861.58214029,634.07486779,True
1423119117647.0588,244.33,56966.69418199,4552.81615604,37462.15025413,True
1415836764705.8823,243.91,32865.05969817,15394.13329174,24785.17106446,True
1411925000000.0,243.69,29088.29728201,31742.46389199,10588.34646892,False
1409827941176.4705,243.57,51636.62703783,4735.74549226,25700.35957272,True
1409663235294.1174,243.56,13382.16421954,20703.62190854,23729.19129537,True
1404997058823.5293,243.29,5431.48681798,47191.13857399,27516.04516389,True
1404148529411.7646,243.25,31126.69822091,8241.72411262,54995.23339108,True
1403654411764.7058,243.21,29168.29939445,14240.76749365,5345.99598289,True
1402994117647.0588,243.17,32570.60145489,10340.33279007,4343.65664514,True
1401769117647.0588,243.1,26278.81718199,43990.41832723,24744.03942753,True
1397644117647.0588,242.87,23162.95133206,57851.65272167,22852.12116105,True
1397644117647.0588,242.86,41276.74642063,14881.42635456,16742.84159224,True
1397008823529.4116,242.83,15448.24227236,13607.59285415,19359.93279979,False
1396607352941.1763,242.82,47653.61282407,54162.1624651,16879.68271276,True
1386122058823.5293,242.19,8576.72032155,27640.81102308,17764.81353922,True
1385485294117.647,242.15,29052.11122764,42192.33590042,35365.82724429,True
1382586764705.8823,241.99,36862.42965707,19320.49947773,21206.07625733,True
1382422058823.5293,241.98,22805.46627304,48036.95284168,8461.3068078,True
1382091176470.5881,241.96,49938.60902031,46272.57242265,12031.59707583,True
1381148529411.7646,241.91,1210.6781259,27780.76331054,49140.70063109,True
1380372058823.5293,241.86,30155.64076542,34550.68358108,35976.37056746,True
1380111764705.8823,241.84,57552.05396506,20461.56956843,22872.24978805,True
1379405882352.9412,241.8,50963.9713192,42311.96518421,53153.64112139,True
1378226470588.235,241.73,25831.03488266,51341.74339036,36428.29378049,True
1376270588235.294,241.62,50013.92864323,6684.57375112,26630.79732446,True
1375517647058.8235,241.57,28406.52928488,47915.91910847,25731.11324193,True
1374951470588.235,241.54,15196.85856887,54612.10857399,20415.29350884,True
1374457352941.1763,236.5,24265.09313243,29842.38917759,13746.48505054,False
1373585294117.647,241.48,47911.60633633,26885.39372511,16884.2562213,True
1370827941176.4705,241.3,29560.72104737,31009.03051281,17028.93539795,True
1370426470588.235,241.28,19689.52698112,45668.99442434,32003.58890057,True
1360907352941.1763,240.72,39945.98356215,38147.40252641,24420.49803883,True
1360482352941.1763,204.27,54110.26808877,21153.32159946,22874.20894638,False
1359492647058.8235,240.63,52854.8587843,20836.76748162,51495.2574124,True
1358998529411.7646,240.61,13553.98058725,4618.29741657,8767.46493325,False
1356123529411.7646,240.44,54234.80990437,36790.18314484,4380.50864787,True
1352823529411.7646,240.24,57551.36730301,4271.15476767,39261.48261053,False
1352070588235.294,240.19,14076.88504197,52956.14706367,29524.7073075,True
1350232352941.1763,240.1,32305.03183188,17812.15264773,39776.70660872,True
1343469117647.0588,239.69,9632.82957985,4655.08155609,13471.57453898,True
1343091176470.5881,239.69,22283.67406801,56465.11125211,12917.37844166,True
1339414705882.3528,239.44,20904.15447199,56922.97015857,14712.60845205,True
1339297058823.5293,239.44,15488.27138216,12522.14228319,22059.5348825,True
1336022058823.5293,239.24,19272.38311542,23760.11586525,15365.06177031,True
1330389705882.3528,238.9,56849.81852208,16583.54619896,19174.23349885,True
1329447058823.5293,238.85,27588.06844281,58080.25347302,24948.47370399,True
1328386764705.8823,238.78,55343.69827493,18788.28586218,19019.66058993,True
1326266176470.5881,238.66,36625.65216842,22092.85242922,55836.56713496,False
1324876470588.235,238.57,16146.72348,36023.05591101,53565.35238223,True
1322660294117.647,238.44,27705.00900366,56798.02931909,36450.89038019,True
1321082352941.1763,238.35,23489.82577666,49895.53276195,22523.78718189,True
1318254411764.7058,238.17,23836.93462047,37923.75301017,23543.27126784,True
1316722058823.5293,238.1,42066.26090368,14117.38274493,726.67351517,True
1311538235294.1174,237.82,14346.27871639,12884.36633144,27576.04295915,True
1311019117647.0588,237.74,19712.20541121,29207.23200031,15218.116283,True
1309535294117.647,203.58,155.20295622,5697.68727587,39551.08816364,False
1308851470588.235,237.61,1203.62208906,4203.00715998,13128.8441518,False
1307036764705.8823,237.5,56289.83649787,44271.29567683,50096.15476578,True
1306589705882.3528,237.47,18170.630277,57025.48453331,10443.04211577,True
1306023529411.7646,237.45,57979.470893,38603.52334008,7312.58196272,True
1305976470588.235,237.44,25675.99666368,28764.49651821,18766.18464229,True
1305316176470.5881,237.39,51139.50409471,26732.36324503,26453.49852998,True
1301970588235.294,237.2,13179.04037555,6352.43832519,28230.97551658,False
1301711764705.8823,237.18,17603.31765509,54810.76178149,6510.97782215,True
1301004411764.7058,237.15,12635.17540836,22195.46678368,15517.05190643,True
1295348529411.7646,236.8,55515.05004307,24203.39876301,51664.69142553,True
1290800000000.0,236.51,19193.29136346,19189.42342746,48719.09895367,True
1286464705882.3528,236.25,23390.2771005,21026.06673092,57171.80841034,True
1286347058823.5293,236.24,31382.32785138,41160.91457641,11733.07338747,True
1282741176470.5881,236.02,29397.39172113,25557.10842516,55390.21613639,True
