label,Mvir,Menv,Rvir,Xc,Yc,Zc
h00,712750000000.0,33410495558356.41,194.03,32836.97936875,17552.74402652,27889.0035022
h01,806891176470.5881,42916647643768.47,202.23,16852.21964816,52889.32041522,50259.918168000004
h02,669295588235.2941,52839948723270.87,190.01,9900.14078311,27832.607321,21678.53009806
h03,967864705882.3528,67712410851683.55,214.91,14303.22082159,12606.01055497,27159.89406499
h10,1290800000000.0,25401032212162.93,236.51,19193.29136346,19189.42342746,48719.09895367
h11,1305316176470.588,34900821726769.19,237.39,51139.50409471,26732.36324503,26453.49852998
h12,1402994117647.0588,53570725327933.05,243.17,32570.60145489,10340.33279007,4343.65664514
h13,1009410294117.647,65381047083051.69,217.9,53947.19749331,24506.61378453,54601.74959283
