Mvir,Rvir,Xc,Yc,Zc,Menv
1275789705882.3528,235.6,13084.99111567,17911.34003799,9471.63597672,67229208946598.336
1269992647058.8235,235.24,17923.95159505,29348.01685452,27950.56551948,41225122847429.945
1267942647058.8235,235.12,33326.65121651,26510.82515427,20482.96445368,57009082156466.57
1263370588235.294,234.84,9002.28795015,1405.51074977,44311.11024114,42844609203200.54
1261344117647.0588,234.71,55305.99664037,26551.41623951,21562.36315773,46686989277902.55
1259789705882.3528,234.61,21367.68106542,53024.90785209,33024.27636675,69833102831412.14
1259623529411.7646,234.59,33625.21205567,56733.77281622,4233.16491911,40039987992002.22
1251117647058.8235,234.06,36387.05319166,7734.25187081,54621.22247461,42769106696305.0
1248760294117.647,233.93,52760.00818556,26856.48835464,23743.57552788,48549761489225.48
1246710294117.647,233.78,14510.9892684,29189.17547328,30826.8254824,42711702168590.414
1243882352941.1763,233.61,26501.40066687,51458.82838607,36663.8475314,36220395346815.836
1240300000000.0,233.41,22282.15375371,2172.86044422,36686.38663125,53348082479884.02
1239122058823.5293,233.31,23947.6001633,49022.5857383,57849.94390114,25784247495288.777
1237826470588.235,233.24,30467.23158256,43977.19090423,5683.19846153,39787511756397.1
1237213235294.1177,233.19,32474.00381044,34699.6439827,8838.34997098,88410631330506.83
1236200000000.0,233.14,23059.77379386,20307.47780064,1183.08585283,59203085090924.26
1235823529411.7646,233.1,29570.84827475,33947.0234251,10723.39762974,124588727364003.55
1226373529411.7646,232.52,56635.14177166,26511.30488836,57250.54999514,39768117697977.93
1222202941176.4705,232.26,28955.74528304,42065.077029,16619.61391338,43232254720813.4
1220623529411.7646,232.15,8530.89942808,26912.50707156,15139.82792435,85673712585697.61
1217230882352.9412,231.93,30431.87956583,25849.06130239,50176.71771313,65320249184240.67
1212988235294.1177,231.67,13160.6239171,18556.35750842,26189.26835215,46679990450016.16
1207333823529.4116,231.3,18031.69228328,14988.04480309,12405.91575502,55432083634632.48
1205989705882.3528,231.21,5599.21724494,3914.48530868,12713.25957583,72850422428140.86
1201394117647.0588,230.92,45255.97470467,52185.9621149,42352.92240679,31930750109542.91
1200145588235.294,230.84,51702.8886342,19472.48093724,55718.12774658,101137069021353.03
1199698529411.7646,230.81,28635.32181538,14593.30499345,3436.97846339,64583510615082.69
1199391176470.5881,230.79,7633.66126669,9271.25187157,45497.58677859,65611419276375.91
1196635294117.647,230.61,10083.04777089,1664.6910394,37309.49200179,26337673330008.418
1196611764705.8823,230.62,7109.74329995,23907.68404335,46168.56563699,30566120062160.34
1195055882352.9412,230.51,20324.51421868,56139.65816623,31880.95923828,46757778769386.38
1193972058823.5293,230.45,14791.83569446,4249.59255909,11081.32062143,72149761991959.48
1191026470588.235,194.12,34273.51131385,9750.52259083,41024.12861228,54118307023542.19
1185817647058.8235,229.94,12781.77755407,45896.5037677,21547.24182062,46134859522421.11
1185535294117.647,229.9,33228.6695524,14411.99269419,5490.29996201,41559652681352.87
1185205882352.9412,229.88,36402.09029103,9587.67954046,26417.93808524,36329218872672.14
1185182352941.1763,229.88,28462.36651701,18943.73970085,30858.62311882,21069252617109.332
1181341176470.5881,229.63,25715.03245441,19426.25748466,1063.63926243,47622994138667.484
1179573529411.7646,229.51,3459.84118954,13245.66561173,56317.04531566,40444223323864.29
1179244117647.0588,229.49,37726.81706873,54816.83613248,51660.80583201,27286332637153.77
1175944117647.0588,229.28,26180.77083994,54252.1539109,25754.40802664,79507509567022.39
1175095588235.294,229.23,41366.52947942,29332.62186423,21056.58458837,28716921335223.168
1174247058823.5293,229.17,56753.89187785,22208.64678507,50598.25327583,46086386158911.7
1172904411764.7058,229.08,39769.0050358,51846.06481088,30301.98418469,27123592214987.543
1172386764705.8823,229.05,57567.75321177,10621.46699097,14866.7974485,59307360556908.26
1171373529411.7646,228.99,49667.9086745,41399.67532056,54182.7406195,50739098538425.56
1168308823529.4116,228.78,47578.42904623,11278.37969166,56859.23518942,44002125788315.664
