label,Mvir,Menv,Rvir,Xc,Yc,Zc
h00,771708823529.4117,32071127273580.586,199.25,37272.27122446,41200.09931397,11769.69300283
h01,793176470588.2352,36705364632680.44,201.07,47115.96849786,14904.87108886,13623.02162876
h02,756273529411.7646,48761375881211.11,197.91,56700.76317825,35441.13608844,45499.07646318
h03,835027941176.4706,75905328322777.94,204.55,54980.4693232,46832.29603696,51842.73002895
h10,1083286764705.8824,29839396650752.25,223.1,47349.25414118,29035.73865661,25177.4633696
h11,1521294117647.0586,35998341625693.28,249.83,58129.1194798,16835.91982081,13549.36463707
h12,1286464705882.3528,58022686815985.26,236.25,23390.2771005,21026.06673092,57171.80841034
h13,1279277941176.4705,75199318614104.28,235.8,14486.04403167,13591.33523186,20764.17878002
