Mvir,Menv,Rvir,Xc,Yc,Zc
1584544117647.0586,45383981907028.016,253.24,13945.03042181,58258.59080932,16119.53708366
1573720588235.294,65579276511268.06,252.66,3337.182814,56181.97442091,22690.62428035
1570558823529.4116,28103545944466.625,252.49,29362.96268946,13873.17763793,39158.8378573
1569573529411.7646,87545510221533.95,204.75,16705.46698882,18462.16454974,6374.63674623
1569191176470.5881,77708528019296.89,252.42,5945.62899394,16184.2877168,9528.99973413
1567544117647.0586,32502321053597.617,252.33,54108.87125376,53455.45202521,47228.15047673
1567058823529.4116,48085717991788.84,252.31,43710.93408973,14307.03124654,3522.17923064
1561632352941.1763,28320721694638.06,252.01,31917.91868687,26221.48673576,12909.83535041
1558500000000.0,46255795497885.5,251.84,1032.28406869,57180.84174743,13999.85444931
1558352941176.4705,80455933223397.17,251.84,35964.43588585,24476.32030034,57236.7839361
1552661764705.8823,79283405684195.73,251.53,35135.4719678,21688.04251506,56718.0838732
1548411764705.8823,38846534664372.83,251.31,27793.78346748,56125.78290769,29987.37164332
1543632352941.1763,52107569693368.71,251.04,18957.40816896,20188.05488308,17139.09048984
1542176470588.235,102569778576357.72,250.96,51660.69703494,14354.82108241,24055.0376404
1539970588235.294,62213052383610.71,250.85,6676.59422089,10823.32362424,41163.53088032
1538588235294.1174,87617619357333.06,250.77,56499.12138224,3113.89329641,40104.03410443
1538044117647.0586,102372680271840.14,250.74,50728.82710765,19051.39545231,54519.84336887
1537808823529.4116,32440014989854.86,250.73,38212.32013143,15797.06393733,7157.59313376
1536250000000.0,71333444157574.83,250.64,11200.39726937,3232.60491151,7553.40498217
1533897058823.5293,37786860279204.734,250.51,6580.73556104,12297.24137372,23547.75978234
1533808823529.4116,67609502160168.945,250.51,16368.27936466,11946.88690707,22529.83650792
1532867647058.8235,34245524063925.508,250.48,47273.0102772,27311.66053329,26772.46194696
1532750000000.0,26042285089079.71,250.45,23443.10974143,57437.68517361,47541.03205734
1532529411764.7058,64177955638905.33,250.44,28369.3689136,26211.61011333,49884.70812364
1530676470588.235,36139849913429.77,250.34,57068.49199313,55567.4579231,42870.2924522
1528617647058.8235,48855918970369.945,250.23,22767.69673672,48431.64173497,27004.87302323
1523441176470.5881,57113734663683.516,249.94,28449.76188756,9463.24640652,6862.25455983
1523294117647.0586,48725014967309.8,249.94,55230.28077293,27179.71523431,21379.78490058
1521294117647.0586,35998341625693.28,249.83,58129.1194798,16835.91982081,13549.36463707
1516558823529.4116,34310940717840.0,249.59,17230.96660624,8988.48002898,14012.29587234
1515985294117.647,57615105243180.87,249.53,16450.49423362,14933.26612487,12814.37346715
1515632352941.1763,30612991000429.758,249.52,13235.99807507,23928.80133691,56963.81443889
1511117647058.8235,30295074545833.098,249.27,13594.90368885,28563.60253876,20774.82641981
1508970588235.294,37473303363863.9,249.15,22400.88813934,18022.57559358,56109.68743794
1508514705882.3528,32778857232879.496,249.13,38335.71572585,16942.26684436,56341.70524924
1507338235294.1174,40893373692599.92,249.06,14313.86535583,46711.66301437,21762.5359951
