label,Mvir,Menv,Rvir,Xc,Yc,Zc
h00,797913235294.1176,28193140367443.164,201.47,49170.08933714,33786.4766685,52855.80877992
h01,699388235294.1176,34739141733070.594,192.81,13666.76804807,28546.05669902,17039.16788301
h02,736338235294.1176,54334469475400.11,196.17,50807.03826002,26875.98777165,411.45273071
h03,788864705882.3529,71436399979243.58,200.79,20526.44538996,53408.01677632,34614.40045924
h10,1360907352941.1765,24506384061635.73,240.72,39945.98356215,38147.40252641,24420.49803883
h11,1548411764705.8823,38846534664372.83,251.31,27793.78346748,56125.78290769,29987.37164332
h12,1528617647058.8235,48855918970369.94,250.23,22767.69673672,48431.64173497,27004.87302323
h13,1542176470588.235,102569778576357.72,250.96,51660.69703494,14354.82108241,24055.0376404
